work_year,experience_level,job_title,salary_currency,salary_in_usd,employee_residence,company_size
2020,MI,Data Scientist,EUR,79833,DE,L
2020,SE,Machine Learning Scientist,USD,260000,JP,S
2020,SE,Big Data Engineer,GBP,109024,GB,M
2020,MI,Product Data Analyst,USD,20000,HN,S
2020,SE,Machine Learning Engineer,USD,150000,US,L
2020,EN,Data Analyst,USD,72000,US,L
2020,SE,Lead Data Scientist,USD,190000,US,S
2020,MI,Data Scientist,HUF,35735,HU,L
2020,MI,Business Data Analyst,USD,135000,US,L
2020,SE,Lead Data Engineer,USD,125000,NZ,S
2020,EN,Data Scientist,EUR,51321,FR,S
2020,MI,Data Scientist,INR,40481,IN,L
2020,EN,Data Scientist,EUR,39916,FR,M
2020,MI,Lead Data Analyst,USD,87000,US,L
2020,MI,Data Analyst,USD,85000,US,L
2020,MI,Data Analyst,USD,8000,PK,L
2020,EN,Data Engineer,JPY,41689,JP,S
2020,SE,Big Data Engineer,EUR,114047,PL,S
2020,EN,Data Science Consultant,INR,5707,IN,M
2020,MI,Lead Data Engineer,USD,56000,PT,M
2020,MI,Machine Learning Engineer,CNY,43331,CN,M
2020,MI,Product Data Analyst,INR,6072,IN,L
2020,SE,Data Engineer,EUR,47899,GR,L
2020,MI,BI Data Analyst,USD,98000,US,M
2020,MI,Lead Data Scientist,USD,115000,AE,L
2020,EX,Director of Data Science,USD,325000,US,L
2020,EN,Research Scientist,USD,42000,NL,L
2020,SE,Data Engineer,MXN,33511,MX,S
2020,EN,Business Data Analyst,USD,100000,US,L
2020,SE,Machine Learning Manager,CAD,117104,CA,L
2020,MI,Data Engineering Manager,EUR,59303,DE,S
2020,EN,Big Data Engineer,USD,70000,US,L
2020,SE,Data Scientist,EUR,68428,GR,L
2020,MI,Research Scientist,USD,450000,US,M
2020,MI,Data Analyst,EUR,46759,FR,L
2020,MI,Data Engineer,EUR,74130,AT,L
2020,MI,Data Science Consultant,USD,103000,US,L
2020,EN,Machine Learning Engineer,USD,250000,US,L
2020,EN,Data Analyst,USD,10000,NG,S
2020,EN,Machine Learning Engineer,USD,138000,US,S
2020,MI,Data Scientist,USD,45760,PH,S
2020,EX,Data Engineering Manager,EUR,79833,ES,L
2020,MI,Machine Learning Infrastructure Engineer,EUR,50180,PT,M
2020,MI,Data Engineer,USD,106000,US,L
2020,MI,Data Engineer,GBP,112872,GB,L
2020,EN,ML Engineer,EUR,15966,DE,S
2020,MI,Data Scientist,GBP,76958,GB,S
2020,SE,Data Engineer,USD,188000,US,L
2020,MI,Data Scientist,USD,105000,US,L
2020,MI,Data Engineer,EUR,70139,FR,L
2020,EN,Data Analyst,INR,6072,IN,S
2020,EN,Data Analyst,USD,91000,US,L
2020,EN,AI Scientist,DKK,45896,DK,S
2020,EN,Data Engineer,EUR,54742,PK,L
2020,SE,Computer Vision Engineer,USD,60000,RU,S
2020,SE,Principal Data Scientist,EUR,148261,DE,M
2020,MI,Data Scientist,EUR,38776,ES,M
2020,MI,Data Scientist,USD,118000,US,M
2020,SE,Data Scientist,USD,120000,US,L
2020,MI,Data Scientist,USD,138350,US,M
2020,MI,Data Engineer,USD,110000,US,L
2020,MI,Data Engineer,USD,130800,ES,M
2020,EN,Data Scientist,EUR,21669,IT,S
2020,SE,Data Scientist,USD,412000,US,L
2020,SE,Machine Learning Engineer,EUR,45618,HR,S
2020,EN,Data Scientist,EUR,62726,DE,S
2020,EN,Data Scientist,EUR,49268,DE,S
2020,SE,Data Science Manager,USD,190200,US,M
2020,EN,Data Scientist,USD,105000,US,S
2020,SE,Data Scientist,EUR,91237,AT,S
2020,MI,Data Scientist,EUR,62726,FR,S
2020,MI,Data Scientist,EUR,42197,FR,S
